Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5282200,2017-02-24,2017-02-23,21667535,3271797785,0,151,1431,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282200,SRX2585846,19,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999511,SAMN06436994,simple,4577,Zea mays,B57R1rep2,,,,,,,no,,,,,,SRA540190,,public,03129EF0B3A651EAEEC6648EA4A7678C,23D04B478A77F4C74DE1E3B6B5FC9E9A
SRR5282201,2017-02-24,2017-02-23,33431313,5048128263,0,151,2297,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282201,SRX2585847,18,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999512,SAMN06436993,simple,4577,Zea mays,W22R2rep1,,,,,,,no,,,,,,SRA540190,,public,6C810E46B9BD8BFE3CCBF44735CD43CD,67FE0816896ABF355B98207900469A12
SRR5282202,2017-02-24,2017-02-23,33431313,5048128263,0,151,2234,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282202,SRX2585848,17,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999513,SAMN06436992,simple,4577,Zea mays,W22R1rep1,,,,,,,no,,,,,,SRA540190,,public,3495940616D4FC071D470F3F5CDCD017,E36C3CB036E293633866968E697DADE9
SRR5282203,2017-02-24,2017-02-23,28848758,4356162458,0,151,2014,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282203,SRX2585849,16,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999514,SAMN06436991,simple,4577,Zea mays,ND246R2rep1,,,,,,,no,,,,,,SRA540190,,public,887CCEF3759BFCFCC19D1A57BFD51AF0,F6E2752344679BB66DBD9EF2EFDFC1D2
SRR5282204,2017-02-24,2017-02-23,28848758,4356162458,0,151,1932,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282204,SRX2585850,15,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999515,SAMN06436990,simple,4577,Zea mays,ND246R1rep1,,,,,,,no,,,,,,SRA540190,,public,F220B80BDE25C0E35F65EF3027E7AEA7,6FD09314F02BBF7C05E1D6C80B91266F
SRR5282205,2017-02-24,2017-02-23,30052278,4537893978,0,151,2071,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282205,SRX2585851,14,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999516,SAMN06436989,simple,4577,Zea mays,Mo17R2rep1,,,,,,,no,,,,,,SRA540190,,public,7A2381B8E1FB88CF4CC8862348C9F55C,4EBF5C746C6176356347CEEB3B9D1C84
SRR5282206,2017-02-24,2017-02-23,30052278,4537893978,0,151,2013,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282206,SRX2585852,13,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999517,SAMN06436988,simple,4577,Zea mays,Mo17R1rep1,,,,,,,no,,,,,,SRA540190,,public,80522D86D1CFC12E54A47F834EB9B01A,AF33617089450BEA356F8EDB259A30A2
SRR5282207,2017-02-24,2017-02-23,23820817,3596943367,0,151,1636,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282207,SRX2585853,12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999518,SAMN06436987,simple,4577,Zea mays,F42R2rep1,,,,,,,no,,,,,,SRA540190,,public,6300552314855A83CD38E117E1C9B7B1,141F5C0F637764BDFB502E89A0EE596D
SRR5282208,2017-02-24,2017-02-23,23820817,3596943367,0,151,1594,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282208,SRX2585854,11,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999519,SAMN06436986,simple,4577,Zea mays,F42R1rep1,,,,,,,no,,,,,,SRA540190,,public,45F2C1C8C5BE769C06306C5759DFFE7B,318229D54D6ED4879A8EDDC36692A9B1
SRR5282209,2017-02-24,2017-02-23,25152009,3797953359,0,151,1767,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282209,SRX2585855,10,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999520,SAMN06436985,simple,4577,Zea mays,Co255R2rep1,,,,,,,no,,,,,,SRA540190,,public,05C573AACFA17B1091A70CE9D2ABD923,B2D11BFA5B27AAEE15E20374DD9A23AC
SRR5282210,2017-02-24,2017-02-23,25152009,3797953359,0,151,1716,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282210,SRX2585856,9,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999522,SAMN06436984,simple,4577,Zea mays,Co255R1rep1,,,,,,,no,,,,,,SRA540190,,public,261CDCC60BF006ECD2E8778939DA6E46,131D7483CEDC64EA1D9DE08A4DF9DF2E
SRR5282211,2017-02-24,2017-02-23,27742338,4189093038,0,151,1899,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282211,SRX2585857,8,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999521,SAMN06436983,simple,4577,Zea mays,CML322R2rep1,,,,,,,no,,,,,,SRA540190,,public,2253ED9F004DDDFA7907DC963BF165D0,DF59902C8965B626BF125E0E11E89CD1
SRR5282212,2017-02-24,2017-02-23,27742338,4189093038,0,151,1853,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282212,SRX2585858,7,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999523,SAMN06436982,simple,4577,Zea mays,CML322R1rep1,,,,,,,no,,,,,,SRA540190,,public,15C555CCCC24D439AC7AF9793F525474,DCB10E13E05D4191C7CBE1460C66E608
SRR5282213,2017-02-24,2017-02-23,21971994,3317771094,0,151,1532,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282213,SRX2585859,6,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999524,SAMN06436981,simple,4577,Zea mays,B73R2rep1,,,,,,,no,,,,,,SRA540190,,public,A2F0FB2813F0DD6DE967212B55D88E71,4763ABBEB49674D3689F34EF09FAF908
SRR5282214,2017-02-24,2017-02-23,21971994,3317771094,0,151,1488,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282214,SRX2585860,5,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999525,SAMN06436980,simple,4577,Zea mays,B73R1rep1,,,,,,,no,,,,,,SRA540190,,public,377D968AF0C320DFAD73B985C27C48A3,F1822370DFA725BEF261975979222CB2
SRR5282215,2017-02-24,2017-02-23,25868619,3906161469,0,151,1774,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282215,SRX2585861,4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999527,SAMN06436979,simple,4577,Zea mays,B64R2rep1,,,,,,,no,,,,,,SRA540190,,public,F8716B305F6C370B3BA35AF3273C8E5D,EE48B65F9D28AC4D57E67B2ECA2C0B28
SRR5282216,2017-02-24,2017-02-23,25868619,3906161469,0,151,1732,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282216,SRX2585862,3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999526,SAMN06436978,simple,4577,Zea mays,B64R1rep1,,,,,,,no,,,,,,SRA540190,,public,AD88BA9A45DEFBC8259A37E74C8A489C,8C560577DD7C6FB40CEAAEFF99D54146
SRR5282217,2017-02-24,2017-02-23,23141806,3494412706,0,151,1600,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282217,SRX2585863,2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999528,SAMN06436977,simple,4577,Zea mays,B57R2rep1,,,,,,,no,,,,,,SRA540190,,public,4790CAF8346304B0DAE774827524625F,DC84D931D4B51327CBC3CBC39CC7CB38
SRR5282218,2017-02-24,2017-02-23,23141806,3494412706,0,151,1551,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282218,SRX2585864,1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1995161,SAMN06361597,simple,4577,Zea mays,B57R1rep1,,,,,,,no,,,,,,SRA540190,,public,6C6851FA73EA976D01ACE0F75934F5EC,05131F07D499D10EF7229511CB5DF449
ERR1462650,2017-03-03,2017-03-03,228284089,46113385978,228284089,202,31577,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462650,ERX1533128,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211202,SAMEA4040092,simple,4577,Zea mays,sample1,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,26B102557AFFE0FE601947104FB208E2,4641D0AA1C7B604146212FF3194AEB61
ERR1462651,2017-03-03,2017-03-03,187147117,37803717634,187147117,202,21854,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462651,ERX1533129,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211204,SAMEA4040094,simple,4577,Zea mays,sample3,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,325C1050411EB088F2DA4AFBFF33D1B0,E1FAA11C34A3F74CC3036B6F9E3FCBD6
ERR1462652,2017-03-03,2017-03-04,168072729,33950691258,168072729,202,19280,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462652,ERX1533130,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211203,SAMEA4040093,simple,4577,Zea mays,sample2,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,67DFE6051CAC8A0083F315D54AE94679,E63754EAD7934FEB6D1ED52D1D609F79
ERR1462653,2017-03-03,2017-03-03,209511588,42321340776,209511588,202,28267,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462653,ERX1533131,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211211,SAMEA4040101,simple,4577,Zea mays,sample10,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,862C417F39F02CBF83EFD241D8E5D547,2C8CA4172C6FC358E99E2BEA28C62F13
ERR1462654,2017-03-03,2017-03-04,190534204,38487909208,190534204,202,22159,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462654,ERX1533132,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211212,SAMEA4040102,simple,4577,Zea mays,sample11,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,1FB08A47D6D4ECE9D347D00628A5DB8D,0E9F69F2DD713AB264D3A9FADB433706
ERR1462655,2017-03-03,2017-03-04,198466244,40090181288,198466244,202,23318,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462655,ERX1533133,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211213,SAMEA4040103,simple,4577,Zea mays,sample12,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,22F127E4CFA16186384DBDB864767454,30283E80A59A21EAFC2F0B9E8B31BF35
ERR1462656,2017-03-03,2017-03-04,222918311,45029498822,222918311,202,30196,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462656,ERX1533134,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211214,SAMEA4040104,simple,4577,Zea mays,sample13,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,FEE6A277A5A3E0F1FBAB35A25EE718E2,E827E5D2475C823715F8ED649BE78F1E
ERR1462657,2017-03-03,2017-03-04,210806510,42582915020,210806510,202,28642,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462657,ERX1533135,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211215,SAMEA4040105,simple,4577,Zea mays,sample14,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,5201BF8EC65D10E10D2CBC81349CE4F4,A193AFBC0BA5036C8C5F543ADB0F8E59
ERR1462658,2017-03-03,2017-03-04,191250082,38632516564,191250082,202,25305,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462658,ERX1533136,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211217,SAMEA4040107,simple,4577,Zea mays,sample16,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,107CCE87347984A4A4D6B6E764989F67,0C6A95F6AAE8641FFD2D22D5A67F43D8
ERR1462659,2017-03-03,2017-03-04,177360415,35826803830,177360415,202,21733,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462659,ERX1533137,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211218,SAMEA4040108,simple,4577,Zea mays,sample17,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,1F72BE57B3019E6A168B8E820A89BB17,F1BCCD31212BD654D59E620791284EFC
ERR1462660,2017-03-03,2017-03-04,188061941,37988512082,188061941,202,26349,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462660,ERX1533138,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211224,SAMEA4040114,simple,4577,Zea mays,sample23,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,DA0EB931702CCA964B281C691D8D5312,AC347E6D898BEA7B79FD06788A783486
ERR1462661,2017-03-03,2017-03-04,223308531,45108323262,223308531,202,29885,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462661,ERX1533139,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211225,SAMEA4040115,simple,4577,Zea mays,sample24,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,017DB2A7D13995B753395127F6398B62,77281A1C9A10F1C83365B427114609B1
ERR1462662,2017-03-03,2017-03-03,201678923,40739142446,201678923,202,26474,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462662,ERX1533140,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211226,SAMEA4040116,simple,4577,Zea mays,sample25,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,9B65A6E310AF13BD9B99C3BFC06FF1FF,3194620FCB8D79EA6F77E98BB504D76B
ERR1462663,2017-03-03,2017-03-03,225653918,45582091436,225653918,202,31520,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462663,ERX1533141,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211227,SAMEA4040117,simple,4577,Zea mays,sample26,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,BE74F2613CCED4B7D9A94C45C9921026,1BD1B55F5014C7A353C7FB2BC4CF937A
ERR1462664,2017-03-03,2017-03-03,223607990,45168813980,223607990,202,30835,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462664,ERX1533142,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211229,SAMEA4040119,simple,4577,Zea mays,sample28,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,71A61B438258ADBF7230384652E97F36,42508E427B98D8AFA66E7A82332A7C6F
ERR1462665,2017-03-03,2017-03-03,48594675,9816124350,48594675,202,6518,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462665,ERX1533143,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211230,SAMEA4040120,simple,4577,Zea mays,sample29,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,DA5C7919A611C63255F8DD5501C89832,1FCA183E8BF4DFB90D5C906DED17D280
ERR1462666,2017-03-03,2017-03-03,164220352,33172511104,164220352,202,22494,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462666,ERX1533144,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211230,SAMEA4040120,simple,4577,Zea mays,sample29,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,704D81D80F2DBAA7008A0AE9B009D7A8,13298BAC4EFA9169ABE3B2F4928C11AB
ERR1462667,2017-03-03,2017-03-04,192447098,38874313796,192447098,202,23958,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462667,ERX1533145,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211233,SAMEA4040123,simple,4577,Zea mays,sample32,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,756F753249EC93F8A1F2F6D99A234751,26BF1D48118F36C2E14EC20F1F3B0DC7
ERR1462668,2017-03-03,2017-03-04,219185450,44275460900,219185450,202,29771,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462668,ERX1533146,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211235,SAMEA4040125,simple,4577,Zea mays,sample34,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,69918D9B0934EBFC96D24FDF0130E90A,BA1FB58EF79AC97C2AA9E5B45292F852
ERR1462669,2017-03-03,2017-03-04,191791280,38741838560,191791280,202,24469,,https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1462669,ERX1533147,unspecified,WGS,size fractionation,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP015844,PRJEB14212,,377866,ERS1211236,SAMEA4040126,simple,4577,Zea mays,sample35,,,,,,,no,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,ERA652835,,public,9099EDEF9C0A4A28846EB765235849FE,9E59E866DE684057D5CFCFE13747E7D6
