post_project	post_tags	post_curator	post_reviewer	post_editor	post_date	post_file_title	paper_1st_author_lastname	paper_year	paper_doi	paper_link	data_sample_size	data_sample_file_path	data_n_tissue	data_tissue_name_or_file	data_file_size	data_source	data_source_id	data_n_pheno	data_pheno_file	data_other_type	data_other_size_file	data_other_file
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	Oh43	NA	NA	25.5	SRA	PRJNA251174 • SRP077205	NA	NA	NA	NA	NA
Genomics	GBS	Jeff Ross-Ibarra			2/9/17		NA				522	SRP070875.txt				SRA	SRP070875					
Genomics	WGS	Jeff Ross-Ibarra			2/9/17		NA				1	SCRO1				SRA	SRP077290					
Genomics	WGS	Jeff Ross-Ibarra			2/9/17		NA				1	W182Ngt				SRA	SRP077221					
Genomics	WGS	Jeff Ross-Ibarra			2/9/17		NA				1	AS5707				SRA	SRP077291					
Genomics	WGS	Jeff Ross-Ibarra			2/9/17		NA				1	Mo44				SRA	SRP077064					
RNA-seq	small RNA	Ricardo Chavez			2/9/17		Nobuta	2008	10.1073/pnas.0808066105	http://www.pnas.org/content/105/39/14958	3	B73	"leaves, ears and tassels"			SRA	PRJNA141681	NA	NA	NA	NA	NA
																						
																						
																						
RNA-seq	RNA-seq	Ricardo Chavez			2/9/17		Wang	2016	10.1186/s12864-016-2593-6	http://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2593-6	8	B73	1	shoot	108G	SRA	SRP068070	1	shade avoidance			
Genomics	GBS	Gitanshu Munjal			2/9/17		Rodgers-Melnick	2015	10.1073/pnas.1413864112	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378432/		RILS from CN-NAM and US-NAM	1	NA	132.2G	SRA	SRP009896	NA	NA	NA	NA	NA
Genomics	mRNA-seq	Aimee Schulz			2/9/17		Zhang	2011	10.1073/pnas.1112186108	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3250141/		"Mo17, B73, Mo17 _ B73, and B73 _ Mo17"		seed and endosperm	103G	SRA	SRP010160					
RNA-Seq		Markus Stetter			2/9/17		NA	NA	NA	NA	1	B73 PacBio transcriptome	6	"ear, pollen, embryo, endosperm, root, tassel"	huge	SRA	PRJNA10769	NA	NA	NA	NA	NA
Genomics	WGS	Markus Stetter			2/10/17		NA	NA	NA	NA	1	B73 PacBio genome V4	1		1T	SRA	PRJNA10770	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	Mo17	NA	NA	35G	SRA	PRJNA251170 • SRP077226	NA	NA	NA	NA	NA
RNA-seq	RNA-seq	Ricardo Chavez			2/9/17		NA	NA	NA	NA	1	W22	1	basal endosperm transfer cells	3.2M	SRA	PRJNA46595	NA	NA	NA	NA	NA
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	PHG72 Resequencing	NA	NA	82G	SRA	SRP077217	NA	NA	NA	NA	NA
Genomics	MAGIC	Markus Stetter			2/9/17		Dell’Acqua	2015	doi: 10.1186/s13059-015-0716-z	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4566846/		5 MAGIC parents genomes	5	NA	265G	SRA	PRJNA272385	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHW65	NA	NA	35.8G	SRA	PRJNA251134 • SRP077204	NA	NA	NA	NA	NA
	cDNA	Aimee Schulz			2/9/17		NA	NA	NA	NA	1	B73	NA	"embryo sacs, comparator ovules, mature pollen, and seedlings"	50G	SRA	SRP006965					
																						
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHG29	NA	NA	33.5G	SRA	PRJNA251166 • SRP077210	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHG39	NA	NA	23.1G	SRA	PRJNA251169 • SRP077244	NA	NA	NA	NA	NA
		Rubén			2/9/17		NA	NA	NA	Na	3	"B73, zmet2-m1, mop1-1"	2	"ear, shoot"	79.83	SRA	SRP047420	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	CR1HT	NA	NA	35G	SRA		NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	NC230	NA	NA	35.1	SRA	PRJNA251186 • SRP077209	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	LH93	NA	NA	36.1	SRA	PRJNA251181 • SRP077243	NA	NA	NA	NA	NA
Genomics	RNA-seq	Aimee Schulz			2/9/17		NA	NA	NA	NA	1	B73	NA	Embryo	50G	SRA	SRP010680					
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	NKH8431 Resequencing	NA	NA	83.7G	SRA	SRP077218	NA	NA	NA	NA	NA
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	W605S Genome sequencing	NA	NA	50.1G	SRA	SRP077223	NA	NA	NA	NA	NA
Genomics	RNA-seq	Aimee Schulz			2/9/17		NA	NA	NA	NA	1	B73		14 day leaf tissue	45G	SRA	SRP072810					
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	DKHBA1 Genome sequencing	NA	NA	79.5G	SRA	SRP077227	NA	NA	NA	NA	NA
RNA-Seq	RNA-seq	Markus Stetter			2/9/17		LI	2012	doi: 10.1101/gr.140277.112	NA	27	shoot apex	1		49G	SRA	SRA050451	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHJ40	NA	NA	36.1G	SRA	PRJNA251135 • SRP077222	NA	NA	NA	NA	NA
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	DKHBA1 Genome sequencing	NA	NA	79.5G	SRA	SRP077225	NA	NA	NA	NA	NA
Genomics	GWAS	Aimee Schulz			2/9/17		Gore	2009	10.1126/science.1177837	http://science.sciencemag.org/content/326/5956/1115.full		27 maize inbred lines		leaf tissues and ears	41G	SRA	SRP001145					
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1	LH156 Genome sequencing	NA	NA	80.1G	SRA	SRP077236	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	Mo45	NA	NA	36.5	SRA	PRJNA251172 • SRP077212	NA	NA	NA	NA	NA
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	1											
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHG50	NA	NA	19.5	SRA	PRJNA251171 • SRP077216	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHG83	NA	NA	32G	SRA	PRJNA251173 • SRP077207	NA	NA	NA	NA	NA
Genomics	RNA-seq	Aimee Schulz			2/9/17		NA	NA	NA	NA	1	"KR701,Hei8834"			27G	SRA	SRP065916					
Genomics	RNA-seq	Gitanshu Munjal			2/9/17		Mejía-Guerra	2015	10.1105/tpc.15.00630	http://www.plantcell.org/content/27/12/3309.long	2		4	"roots, shoots"	2.2G	SRA	SRP059874	NA	NA	NA	NA	NA
Genomics	RNA-seq	Aimee Schulz			2017-02		NA	NA	NA	NA	3		12 (4 replicates)	"seminal, primary, crown root"	25G	SRA	SRP060587					
																						
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	LH145	NA	NA	24GB	SRA	PRJNA251182 • SRP077211	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	LH123HT	NA	NA	30GB	SRA	PRJNA251136 • SRP077206	NA	NA	NA	NA	NA
Genomics	RNA-seq	Aimee Schulz			2/9/17		NA	NA	NA	NA	1	21 maize inbreds	NA	Seedling	18G	SRA	SRP006703					
Genomics	RNA-seq	Aimee Schulz			2/9/17		NA	NA	NA	NA	2	B73			17G	SRA	SRP011565					
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHG35	NA	NA	35G	SRA	PRJNA251136 • SRP077206	NA	NA	NA	NA	NA
Epigenomics																						
RNA-seq	RNA-seq	Emily Josephs			2/9/17												SRP061631					
																						
Genomics	GBS	Dan Gates																				
